Nama File,Ground Truth,Prediksi,Confidence,Benar,Waktu Proses (detik)
alif1.jpg,bitemark_pria,bitemark_pria,0.9787,Benar,2.4864
alif2.jpg,bitemark_pria,bitemark_pria,0.9788,Benar,0.0156
alif3.jpg,bitemark_pria,bitemark_pria,0.9805,Benar,0.0145
alif4.jpg,bitemark_pria,bitemark_pria,0.9835,Benar,0.0771
alif5.jpg,bitemark_pria,bitemark_pria,0.9787,Benar,0.0157
alif6.jpg,bitemark_pria,bitemark_pria,0.9803,Benar,0.0143
alif7.jpg,bitemark_pria,bitemark_pria,0.9836,Benar,0.0148
alif8.jpg,bitemark_pria,bitemark_pria,0.981,Benar,0.0144
imam11.jpg,bitemark_pria,bitemark_pria,0.9806,Benar,0.0146
imam12.jpg,bitemark_pria,bitemark_pria,0.9763,Benar,0.0154
imam13.jpg,bitemark_pria,bitemark_pria,0.9793,Benar,0.0144
imam14.jpg,bitemark_pria,bitemark_pria,0.9762,Benar,0.0156
imam15.jpg,bitemark_pria,bitemark_pria,0.9762,Benar,0.0143
imam20.jpg,bitemark_pria,bitemark_pria,0.9699,Benar,0.0143
zul22.jpg,bitemark_pria,bitemark_wanita,0.96,Salah,0.015
zul23.jpg,bitemark_pria,bitemark_wanita,0.915,Salah,0.0143
zul24.jpg,bitemark_pria,bitemark_wanita,0.96,Salah,0.0141
zul25.jpg,bitemark_pria,bitemark_wanita,0.915,Salah,0.0136
zul26.jpg,bitemark_pria,bitemark_wanita,0.96,Salah,0.0138
zul27.jpg,bitemark_pria,bitemark_wanita,0.915,Salah,0.0139
zul28.jpg,bitemark_pria,bitemark_wanita,0.96,Salah,0.0138
zul7.jpg,bitemark_pria,bitemark_wanita,0.915,Salah,0.0141
alma10.jpg,bitemark_wanita,bitemark_pria,0.8495,Salah,0.0727
alma11.jpg,bitemark_wanita,bitemark_pria,0.777,Salah,0.0149
alma12.jpg,bitemark_wanita,bitemark_pria,0.9434,Salah,0.0155
alma4.jpg,bitemark_wanita,bitemark_pria,0.8735,Salah,0.0736
alma5.jpg,bitemark_wanita,bitemark_pria,0.9379,Salah,0.0714
alma6.jpg,bitemark_wanita,bitemark_pria,0.9605,Salah,0.0136
alma7.jpg,bitemark_wanita,bitemark_pria,0.7204,Salah,0.015
alma8.jpg,bitemark_wanita,bitemark_pria,0.9501,Salah,0.0145
latifa28.jpg,bitemark_wanita,bitemark_wanita,0.9581,Benar,0.0693
latifa29.jpg,bitemark_wanita,bitemark_pria,0.8601,Salah,0.0141
latifa30.jpg,bitemark_wanita,bitemark_pria,0.9607,Salah,0.0149
latifa31.jpg,bitemark_wanita,bitemark_pria,0.8202,Salah,0.0149
latifa32.jpg,bitemark_wanita,bitemark_pria,0.9257,Salah,0.0151
latifa33.jpg,bitemark_wanita,bitemark_wanita,0.9095,Benar,0.0139
latifa35.jpg,bitemark_wanita,bitemark_wanita,0.9342,Benar,0.014
latifa36.jpg,bitemark_wanita,bitemark_pria,0.9391,Salah,0.0135
zahra2.jpg,bitemark_wanita,bitemark_wanita,0.8895,Benar,0.0145
zahra3.jpg,bitemark_wanita,bitemark_pria,0.8869,Salah,0.0139
zahra4.jpg,bitemark_wanita,bitemark_wanita,0.8895,Benar,0.0142
zahra5.jpg,bitemark_wanita,bitemark_pria,0.8869,Salah,0.0139
zahra6.jpg,bitemark_wanita,bitemark_wanita,0.8895,Benar,0.0144
zahra7.jpg,bitemark_wanita,bitemark_pria,0.8869,Salah,0.0139
zahra8.jpg,bitemark_wanita,bitemark_wanita,0.8895,Benar,0.0141
zahra9.jpg,bitemark_wanita,bitemark_wanita,0.8895,Benar,0.0139
